CustomerID,FirstName,LastName,Email,DOB,Lat,Lon
C459,Francisco,Ward,francisco.ward@example.com,28/02/1994,-72.374473,-161.983195
C692,John,Lee,john.lee@example.com,31/08/1952,28.8072255,23.780095
C484,Karen,Valdez,karen.valdez@example.com,23/12/1960,15.2869685,-96.609657
C671,Ernest,Murphy,ernest.murphy@example.com,25/12/1992,-71.4975945,0.117929
C301,Daniel,Adams,daniel.adams@example.com,16/12/2005,13.2150195,-112.080942
C108,Amanda,Compton,amanda.compton@example.com,14/09/1950,-15.0565365,-140.967375
C810,Erik,Howard,erik.howard@example.com,06/08/1965,-19.153752,-7.154577
C568,Shane,Jackson,shane.jackson@example.com,18/08/2007,-48.150209,-176.829158
C707,James,Patel,james.patel@example.com,19/09/1966,86.5685075,-42.966385
C326,Brian,Moore,brian.moore@example.com,26/06/1953,-48.4337395,101.88557
C844,Samantha,Gardner,samantha.gardner@example.com,24/03/1992,54.1787165,-120.562196
C953,Kevin,Hill,kevin.hill@example.com,13/12/1959,-70.510561,142.634202
C228,Kenneth,Medina,kenneth.medina@example.com,01/08/1969,-18.8838915,93.670886
C717,Lisa,Santiago,lisa.santiago@example.com,20/04/1989,37.6813965,-77.029282
C232,Amanda,Johnson,amanda.johnson@example.com,05/10/1988,-87.9598945,-100.694457
C956,Robert,Gallagher,robert.gallagher@example.com,10/11/1963,-65.5430665,44.033082
C225,Joshua,Hurley,joshua.hurley@example.com,18/09/1976,7.311588,134.896014
C504,Robert,Cole,robert.cole@example.com,15/10/1986,53.3233615,-46.812835
C611,Jessica,Mullins,jessica.mullins@example.com,27/02/1998,-31.443656,-153.619608
C349,Patrick,Harrington,patrick.harrington@example.com,17/04/1953,-41.4563075,136.909383
C706,Megan,Hawkins,megan.hawkins@example.com,28/02/1989,48.1095575,-176.585705
C457,Sherri,Nelson,sherri.nelson@example.com,30/08/1994,-74.0296735,-157.676991
C244,Jessica,Santiago,jessica.santiago@example.com,04/07/1988,31.502976,-132.161653
C684,Kim,Small,kim.small@example.com,21/11/1949,27.499888,-165.73058
C821,Rebecca,Larsen,rebecca.larsen@example.com,28/09/1991,81.936641,169.819809
C506,Andrea,Romero,andrea.romero@example.com,04/04/1973,-46.7810705,-53.203484
C934,Patrick,Stone,patrick.stone@example.com,02/02/2003,-0.998947,166.987893
C775,Seth,Hanson,seth.hanson@example.com,12/10/1971,-66.013459,-27.171654
C950,Morgan,Wilson,morgan.wilson@example.com,07/05/1965,-43.792007,136.212524
C115,Kendra,Gutierrez,kendra.gutierrez@example.com,29/01/1969,-46.0172265,30.646348
C734,Cynthia,Perez,cynthia.perez@example.com,09/06/1996,-27.670906,-47.42211
C972,Sarah,Johnson,sarah.johnson@example.com,22/06/1946,-43.481783,52.394693
C163,Barry,Carrillo,barry.carrillo@example.com,20/11/1967,63.6057095,-127.417942
C142,Ronald,Phillips,ronald.phillips@example.com,24/02/1963,-0.0513885,159.702348
C866,Robert,Johnson,robert.johnson@example.com,14/09/1953,-70.084916,121.499961
C130,Andrea,Carlson,andrea.carlson@example.com,01/08/1962,43.257049,139.56727
C235,Andrew,King,andrew.king@example.com,24/06/1968,70.872028,53.74389
C916,Gregory,Irwin,gregory.irwin@example.com,19/09/1968,60.902916,-29.838046
C853,Robert,Chung,robert.chung@example.com,28/12/1993,36.8434595,-155.388538
C254,Juan,Wright,juan.wright@example.com,16/11/1987,52.4577745,122.864715
C298,Stephanie,Stephenson,stephanie.stephenson@example.com,25/08/1978,-28.766687,-77.067984
C103,Andrew,Weaver,andrew.weaver@example.com,21/10/1974,59.2540535,-144.39423
C312,Samantha,Kent,samantha.kent@example.com,02/07/1951,-17.894002,-7.228373
C375,Hannah,Dodson,hannah.dodson@example.com,19/10/2005,30.236564,-40.002064
C762,Isaac,Wagner,isaac.wagner@example.com,26/05/1954,30.645704,105.446388
C712,Christine,Clark,christine.clark@example.com,26/12/2002,-81.9453285,-113.287804
C173,Amy,George,amy.george@example.com,01/11/1989,-64.828269,40.119786
C439,Jessica,Jenkins,jessica.jenkins@example.com,04/11/1967,2.723201,-4.726222
C716,Andrew,Suarez,andrew.suarez@example.com,31/05/1962,8.3307725,98.676007
C357,Adriana,Diaz,adriana.diaz@example.com,26/02/1973,26.97592,8.818548
C824,Alan,Flores,alan.flores@example.com,01/02/2006,66.926859,-12.709329
C162,Joseph,Wilson,joseph.wilson@example.com,04/12/1967,-66.6165315,161.524709
C388,Joyce,Dennis,joyce.dennis@example.com,19/08/1973,-39.52704,-107.841444
C116,Taylor,Rocha,taylor.rocha@example.com,08/09/1954,-61.7494115,60.567668
C595,Vincent,Patton,vincent.patton@example.com,17/10/1980,-73.933086,75.94743
C309,Brian,Bradshaw,brian.bradshaw@example.com,02/03/1949,53.893953,41.05639
C500,Elizabeth,Jones,elizabeth.jones@example.com,13/01/1986,-62.436737,123.35445
C771,Jennifer,Walker,jennifer.walker@example.com,09/07/1991,17.730365,128.557312
C652,Michael,Miller,michael.miller@example.com,27/09/1966,-19.634895,148.667578
C912,Kathy,Lawrence,kathy.lawrence@example.com,25/02/1984,3.1661925,-24.649827
C883,Paul,Santos,paul.santos@example.com,07/05/1977,-84.140512,-153.580783
C600,Angie,Escobar,angie.escobar@example.com,09/12/1970,65.96413,135.98011
C481,Joseph,Williamson,joseph.williamson@example.com,19/01/1948,-55.8048395,-129.86512
C119,Shannon,Washington,shannon.washington@example.com,14/01/1949,-73.675525,24.879427
C739,Ricky,King,ricky.king@example.com,19/05/2007,-81.6231915,175.865706
C118,Pamela,Blanchard,pamela.blanchard@example.com,09/11/1947,-88.639896,125.600714
C561,Ralph,Gonzalez,ralph.gonzalez@example.com,03/09/2003,13.097577,49.30067
C273,William,George,william.george@example.com,12/07/1987,0.695976,-38.046858
C900,Terri,Copeland,terri.copeland@example.com,25/07/1987,24.594425,122.808657
C311,Lisa,Miller,lisa.miller@example.com,16/08/1957,-63.4258625,-120.766458
C777,Michelle,Frank,michelle.frank@example.com,04/07/1997,-37.135975,166.287693
C414,Rachel,Parker,rachel.parker@example.com,24/08/1973,-79.7336635,-126.992353
C423,Zachary,Johnson,zachary.johnson@example.com,13/06/1948,-72.568295,-160.654969
C463,Erin,Evans,erin.evans@example.com,12/01/1976,-46.555822,63.214681
C938,Emma,Hughes,emma.hughes@example.com,21/03/1948,2.5683755,-171.195882
C597,Rebecca,Jackson,rebecca.jackson@example.com,04/03/1981,20.817195,-126.35584
C577,Shannon,Johnson,shannon.johnson@example.com,18/09/1983,-43.3373035,-59.754564
C831,Christina,Smith,christina.smith@example.com,08/08/1998,60.519608,-60.151673
C990,Ian,Brown,ian.brown@example.com,13/06/1962,12.535992,76.416344
C718,Anthony,Case,anthony.case@example.com,24/07/1945,52.9574305,-68.777327
C958,Scott,Jones,scott.jones@example.com,08/02/1997,-87.099301,123.484011
C185,Robert,Miller,robert.miller@example.com,19/06/1955,17.0528975,60.523541
C216,Robert,Vega,robert.vega@example.com,08/08/1970,-41.4197775,-128.10472
C680,Gary,Bond,gary.bond@example.com,09/01/1957,63.594979,-56.087596
C936,Donald,Snyder,donald.snyder@example.com,11/07/1965,63.012253,-106.490069
C400,Jessica,Rosales,jessica.rosales@example.com,28/10/1976,30.4173355,-138.104855
C293,Anna,Benson,anna.benson@example.com,24/08/1947,-61.7466265,-71.326616
C906,Dean,Hinton,dean.hinton@example.com,22/08/1957,11.437929,-107.704351
C574,Tiffany,Farley,tiffany.farley@example.com,11/10/1944,67.778897,122.994106
C169,Samantha,Phillips,samantha.phillips@example.com,28/01/2000,47.5151955,93.819375
C999,Marcus,Porter,marcus.porter@example.com,25/09/1962,-36.4523365,-156.064356
C901,Jeanette,Stephens,jeanette.stephens@example.com,30/11/2000,-63.212382,68.966561
C347,Mark,Harper,mark.harper@example.com,03/12/1961,-75.635081,-77.055232
C168,James,Wells,james.wells@example.com,21/09/1973,9.360569,86.782105
C933,Preston,Bates,preston.bates@example.com,15/07/2007,25.314943,25.226723
C542,Christopher,King,christopher.king@example.com,29/03/1978,-85.837399,-154.714597
C480,Sandra,Edwards,sandra.edwards@example.com,03/11/1975,-46.023195,-85.880111
C698,Michelle,Young,michelle.young@example.com,26/10/1965,20.509997,-103.399296
C621,Brandon,Gregory,brandon.gregory@example.com,26/05/1998,-63.9182625,109.921431
C974,Scott,Lewis,scott.lewis@example.com,23/01/1973,86.1140835,23.790653
C327,Cassidy,Farrell,cassidy.farrell@example.com,06/09/2006,-47.4455215,165.586184
C735,Timothy,Williams,timothy.williams@example.com,02/08/1945,60.6896905,65.8544
C214,John,Palmer,john.palmer@example.com,18/12/1996,-66.661197,-88.442753
C215,Jeffrey,Davis,jeffrey.davis@example.com,22/01/1953,78.1201565,23.308751
C750,Peter,Melton,peter.melton@example.com,05/10/1996,-71.949403,150.711762
C460,Jacob,Williams,jacob.williams@example.com,23/01/1976,25.9850955,152.168334
C843,Kimberly,Wu,kimberly.wu@example.com,27/04/2004,47.3616175,-69.702288
C720,William,Lin,william.lin@example.com,27/06/1973,-81.1866455,-65.85122
C189,Phillip,Ayers,phillip.ayers@example.com,30/12/1944,61.938899,95.201086
C429,Sean,Watts,sean.watts@example.com,15/03/1999,48.898543,-92.743349
C915,John,Duncan,john.duncan@example.com,04/07/1995,3.433037,52.628396
C962,Manuel,Jackson,manuel.jackson@example.com,24/01/1951,89.550923,-77.927551
C558,Douglas,Reyes,douglas.reyes@example.com,23/02/2003,61.2363135,106.331675
C703,Kimberly,Davis,kimberly.davis@example.com,13/06/1948,-49.0946225,108.731591
C101,Tina,Sherman,tina.sherman@example.com,30/05/1957,-73.459953,25.01553
C181,Felicia,Lambert,felicia.lambert@example.com,30/03/1981,-34.087944,6.322241
C338,Courtney,Obrien,courtney.obrien@example.com,23/04/1963,50.4106325,-88.215384
C490,Kimberly,Burke,kimberly.burke@example.com,27/12/1987,38.1283205,154.984201
C105,Joseph,Mcpherson,joseph.mcpherson@example.com,10/07/2007,43.3324765,78.727118
C343,Lauren,Williams,lauren.williams@example.com,09/05/1976,-18.7774885,38.668499
C946,Katie,Cole,katie.cole@example.com,05/12/1954,41.7094025,93.205651
C276,Amy,Diaz,amy.diaz@example.com,31/12/1963,-22.9379425,-150.98024
C724,Louis,Reid,louis.reid@example.com,16/04/1983,38.7346855,161.746552
C258,Nicole,Tyler,nicole.tyler@example.com,25/05/1978,-0.7075545,-137.201649
C249,Jonathan,Molina,jonathan.molina@example.com,12/08/1957,-35.991771,110.667688
C364,Keith,Gonzales,keith.gonzales@example.com,18/04/1963,-21.430855,-171.72598
C545,Erika,Cook,erika.cook@example.com,14/05/1948,55.439175,95.918495
C628,Anna,Ferguson,anna.ferguson@example.com,25/04/1988,-27.982867,-39.740745
C307,Raven,Farmer,raven.farmer@example.com,23/09/2001,35.01288,-164.760442
C450,Kenneth,Collins,kenneth.collins@example.com,07/06/1950,30.4644085,-98.597685
C835,Nina,Dyer,nina.dyer@example.com,25/04/1996,5.150172,-135.843123
C859,Felicia,Kline,felicia.kline@example.com,30/06/1973,-11.566215,162.337571
C907,Chad,Williams,chad.williams@example.com,10/12/1962,77.3666295,117.584147
C281,Joe,Olson,joe.olson@example.com,03/09/1993,68.0499415,58.514233
C885,Samuel,Alexander,samuel.alexander@example.com,16/07/1987,38.4746345,32.024759
C715,Jeffrey,Simon,jeffrey.simon@example.com,22/08/1952,-53.636299,78.437718
C367,Anthony,Jones,anthony.jones@example.com,13/07/1952,53.9909905,-17.255152
C333,Cody,Carter,cody.carter@example.com,20/08/1998,-37.9905275,15.891739
C530,Justin,Stewart,justin.stewart@example.com,13/12/2002,-30.208527,50.778735
C518,Jonathan,Johnson,jonathan.johnson@example.com,09/09/1997,-43.354604,-140.852936
C726,Peter,Rose,peter.rose@example.com,19/04/1982,2.9225495,-68.860758
C425,Matthew,Snyder,matthew.snyder@example.com,05/09/1965,-34.959728,-156.668148
C421,David,Johnson,david.johnson@example.com,20/11/2003,-3.8418895,-125.060286
C630,Douglas,Meyers,douglas.meyers@example.com,08/09/2001,40.351818,-175.9741
C190,Zoe,Trevino,zoe.trevino@example.com,06/01/1947,-7.45638,177.790517
C959,Brian,Sanders,brian.sanders@example.com,07/02/1966,69.0567695,29.315882
C148,Michael,Rush,michael.rush@example.com,04/09/1950,-70.976832,9.77362
C659,John,Jones,john.jones@example.com,11/08/1957,50.552851,-22.500477
C721,Vincent,Bailey,vincent.bailey@example.com,11/08/1965,-36.3456165,175.22301
C619,Adrian,Robbins,adrian.robbins@example.com,23/01/1957,-17.7341485,-74.684362
C728,Carrie,Mason,carrie.mason@example.com,29/09/2001,83.075103,122.69918
C886,Michelle,Jenkins,michelle.jenkins@example.com,09/01/1995,-5.60855,57.499563
C604,Andrea,Rodriguez,andrea.rodriguez@example.com,01/01/2001,14.857212,38.456406
C981,Victoria,Thomas,victoria.thomas@example.com,16/05/1970,8.4199245,-141.399154
C729,Alexandra,Booth,alexandra.booth@example.com,19/08/1985,11.1027395,-32.87012
C634,Lisa,Ryan,lisa.ryan@example.com,16/06/1986,78.623216,-144.056546
C874,Belinda,Adams,belinda.adams@example.com,25/06/1971,-31.7297495,-160.740049
C533,Katie,Davidson,katie.davidson@example.com,10/12/1976,-24.6609585,18.994634
C617,Michael,Wilson,michael.wilson@example.com,01/11/2000,63.2848375,25.718526
C455,Kristin,Nelson,kristin.nelson@example.com,05/12/1981,47.399618,140.28879
C447,Jennifer,Jefferson,jennifer.jefferson@example.com,20/08/1977,89.5046775,-163.368819
C196,Dave,Mclean,dave.mclean@example.com,26/09/1946,66.38238,-7.709238
C195,Jose,Foster,jose.foster@example.com,24/04/2001,13.494617,-159.207003
C994,Henry,Barker,henry.barker@example.com,15/10/1944,-13.613199,-162.332029
C995,Brittany,Lee,brittany.lee@example.com,06/04/1986,34.58237,38.932634
C863,Jennifer,Wilson,jennifer.wilson@example.com,15/10/1990,-37.1746195,28.256197
C477,James,Pearson,james.pearson@example.com,24/12/1990,67.381594,-77.639275
C714,Marcia,Dixon,marcia.dixon@example.com,07/06/1959,25.926814,49.877814
C697,Lance,Stone,lance.stone@example.com,26/07/1969,-50.9708035,-45.495224
C243,Jeremy,Adams,jeremy.adams@example.com,14/04/2002,-63.8319425,15.214418
C829,Nicole,Mason,nicole.mason@example.com,26/05/1994,78.1246855,-145.187849
C918,Michael,Rodriguez,michael.rodriguez@example.com,06/07/1995,34.0274755,54.480128
C754,George,Ward,george.ward@example.com,28/03/1975,46.3686835,120.173099
C350,Cynthia,Hernandez,cynthia.hernandez@example.com,06/12/2002,69.1356355,20.003455
C288,Margaret,Wells,margaret.wells@example.com,26/02/1974,8.3542425,-157.045336
C376,Susan,Knight,susan.knight@example.com,08/09/1996,-89.880887,-105.69228
C461,Patricia,Pope,patricia.pope@example.com,07/07/2003,-50.7210055,142.427427
C328,Jonathan,Brown,jonathan.brown@example.com,11/06/1988,-77.467821,145.374863
C251,Aaron,Dunn,aaron.dunn@example.com,15/07/1959,56.5598055,-97.327812
C598,Julia,Branch,julia.branch@example.com,09/09/1968,7.1603835,88.380502
C456,Kenneth,Reed,kenneth.reed@example.com,22/02/1970,31.1480075,13.771482
C474,Carolyn,Sullivan,carolyn.sullivan@example.com,05/09/1966,57.752768,-89.317327
C433,Steven,Parrish,steven.parrish@example.com,07/09/1982,73.966044,-64.619472
C581,Carrie,Koch,carrie.koch@example.com,19/04/2000,89.048373,-84.758882
C174,David,Williams,david.williams@example.com,09/07/1953,60.821808,47.179149
C747,Karen,Valentine,karen.valentine@example.com,11/09/1999,-38.3000225,-20.677576
C552,Nancy,Harris,nancy.harris@example.com,04/11/1995,2.4987325,6.767481
C153,Jason,Craig,jason.craig@example.com,23/08/1978,63.3349925,-81.765387
C393,Juan,Morales,juan.morales@example.com,28/02/1946,19.593174,-129.158547
C668,Ryan,Riley,ryan.riley@example.com,24/05/1948,2.151714,8.801905
C903,Alicia,Cuevas,alicia.cuevas@example.com,02/09/1969,11.325678,142.240652
C889,Amy,Wagner,amy.wagner@example.com,26/04/1991,65.7932935,-122.92149
C336,Christine,Mcmillan,christine.mcmillan@example.com,10/04/1985,-53.829458,98.302192
C402,Maureen,Taylor,maureen.taylor@example.com,24/11/2000,-47.2417035,76.424784
C396,Nathaniel,Nixon,nathaniel.nixon@example.com,28/12/2005,68.073754,89.875188
C159,Shirley,Pope,shirley.pope@example.com,27/07/1988,88.204161,57.55232
C217,Angela,Campbell,angela.campbell@example.com,09/08/1996,89.0565255,-63.097371
C176,Michelle,Rodgers,michelle.rodgers@example.com,09/02/2004,-59.7258915,-160.174415
C965,Megan,Miller,megan.miller@example.com,06/08/1953,-14.897459,-158.802325
C940,Lauren,Macdonald,lauren.macdonald@example.com,22/07/1955,-48.133695,-5.963522
C701,Daniel,Flores,daniel.flores@example.com,26/12/1996,-35.7204755,3.392742
C227,Jeffrey,Vazquez,jeffrey.vazquez@example.com,12/12/1991,39.145554,-124.059716
C448,Karen,Potts,karen.potts@example.com,17/08/1994,38.445682,56.133663
C165,Daniel,Williams,daniel.williams@example.com,01/04/1990,42.1434665,83.797091
C182,Debbie,Bass,debbie.bass@example.com,16/03/1963,-55.25784,-104.637181
C688,Tina,Cox,tina.cox@example.com,28/03/1948,13.3716165,-9.531953
C591,Ashley,Rodriguez,ashley.rodriguez@example.com,13/06/1982,9.6288145,136.245667
C731,Scott,Alvarado,scott.alvarado@example.com,03/04/2003,-63.600037,154.084097
C513,Scott,Bailey,scott.bailey@example.com,11/11/1969,75.9883,-101.690749
C120,Carla,Smith,carla.smith@example.com,29/01/1949,-10.223953,53.148011
C640,Adam,Wood,adam.wood@example.com,22/12/2002,-18.382377,-144.129037
C405,Brittany,Curtis,brittany.curtis@example.com,18/09/2005,28.962832,-164.723075
C411,Frank,Duncan,frank.duncan@example.com,15/07/1988,-61.481119,38.377201
C512,Douglas,Armstrong,douglas.armstrong@example.com,14/05/1957,88.1222405,74.047406
C171,Dean,Garcia,dean.garcia@example.com,26/04/1968,-18.9266695,91.628381
C891,Samantha,Marks,samantha.marks@example.com,10/02/1999,51.023399,111.672415
C234,Jill,Frazier,jill.frazier@example.com,05/05/1983,56.120122,163.459938
C492,Brenda,Andersen,brenda.andersen@example.com,04/04/1958,24.516735,12.306476
C766,Heidi,Weber,heidi.weber@example.com,01/05/1973,52.8207925,-124.424799
C256,Ricardo,Brock,ricardo.brock@example.com,19/09/1969,-48.666812,-63.753054
C334,Crystal,Brown,crystal.brown@example.com,13/08/1962,78.3487455,-98.681328
C603,Katherine,Torres,katherine.torres@example.com,08/06/2004,77.8002595,136.981963
C751,Daniel,Hill,daniel.hill@example.com,16/07/1986,32.9719505,133.49433
C361,Zachary,Young,zachary.young@example.com,16/08/1990,23.38841,175.007871
C240,Edward,Stevens,edward.stevens@example.com,14/01/1985,52.878553,136.91215
C713,Alicia,Jones,alicia.jones@example.com,21/02/1986,-8.30296,75.7831
C779,Deborah,Matthews,deborah.matthews@example.com,20/04/1955,-12.3531205,-91.742003
C144,Amanda,Cohen,amanda.cohen@example.com,05/09/1999,80.328554,-80.380734
C252,Curtis,Giles,curtis.giles@example.com,05/02/1953,72.493351,-76.408999
C870,Keith,Mitchell,keith.mitchell@example.com,16/05/1983,28.848887,-178.959281
C670,Destiny,Kelly,destiny.kelly@example.com,27/03/1955,7.9206275,-174.36824
C871,Jonathan,Weaver,jonathan.weaver@example.com,18/10/2001,-83.742946,-166.841395
C596,Rachel,Cowan,rachel.cowan@example.com,22/01/1981,-25.716026,-1.48332
C260,Tony,Cox,tony.cox@example.com,07/06/1992,53.1533885,-154.616188
C852,Carl,Bryant,carl.bryant@example.com,08/04/1970,75.8540635,41.061937
